                                               queryItem  queryIndex             stringId  ncbiTaxonId    taxonName    preferredName                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              annotation Uniprot accession                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Biological Processes                                                                                                                                                                                                                                                                                                    Evidences
                                     elongation factor 2           0 4530.OS02T0519900-01         4530 Oryza sativa        OsJ_06933                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Elongation factor 2; Os02g0519900 protein; Putative elongation factor 2            Q6H4L2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [translational elongation]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                                                    RNB5         217 4530.OS03T0266300-01         4530 Oryza sativa             RNB5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     17.9 kDa class I heat shock protein            Q84Q77                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [protein complex oligomerization, protein folding, response to heat, response to hydrogen peroxide, response to salt stress]                                                                                                                                                                                                                              [IBA:GO_Central, IBA:GO_Central, IEP:UniProtKB, IBA:GO_Central, IBA:GO_Central]
                                                 SSIII-1         218 4530.OS04T0624600-01         4530 Oryza sativa          SSIII-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Os04g0624600 protein; Soluble starch synthase III-1            Q0J9Z0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                         OS05T0533600-01         221 4530.OS05T0533600-01         4530 Oryza sativa  OS05T0533600-01                                                                                                                                                                                                                                                                                                                               Starch synthase, chloroplastic/amyloplastic; Os05g0533600 protein; Putative starch synthase IV; Starch synthase IVb; Starch synthase-like protein; cDNA clone:J013110M10, full insert sequence ; Belongs to the glycosyltransferase 1 family. Bacterial/plant glycogen synthase subfamily            Q84VC7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                         OS01T0720600-01         222 4530.OS01T0720600-01         4530 Oryza sativa  OS01T0720600-01                                                                                                                                                                                                                                                                                                                                                                                                                                                 Starch synthase, chloroplastic/amyloplastic; Glycogen (Starch) synthase-like ; Belongs to the glycosyltransferase 1 family. Bacterial/plant glycogen synthase subfamily            Q5JMA1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                                 SWEET11         223 4530.OS08T0535200-01         4530 Oryza sativa             XA13                                                                                                                                                                                                                                                                                                                                       Bidirectional sugar transporter SWEET11; Mediates both low-affinity uptake and efflux of sugar across the plasma membrane. Required for pollen viability. Involved in the transport of copper, in cooperation with COPT1 and COPT2; Belongs to the SWEET sugar transporter family            Q6YZF3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [carbohydrate transport, copper ion transport, sucrose transport]                                                                                                                                                                                                                                                               [IBA:GO_Central, IMP:UniProtKB, IDA:UniProtKB]
                                                 SWEET15         224 4530.OS02T0513100-01         4530 Oryza sativa          SWEET15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Bidirectional sugar transporter SWEET15; Mediates both low-affinity uptake and efflux of sugar across the plasma membrane            Q6K602                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [carbohydrate transport]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                                          GSH peroxidase         230 4530.OS04T0508300-01         4530 Oryza sativa            GRXC6                                                                                                                                                                                                                                                                              Glutaredoxin-C6; Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins. Possesses thioltransferase, dehydroascorbate reductase and GSH-dependent peroxidase activities in vitro; Belongs to the glutaredoxin family. CPYC subfamily            P55142                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [cellular response to oxidative stress]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                                                   RAD23         231 4530.OS09T0407200-01         4530 Oryza sativa            RAD23                                                                Probable ubiquitin receptor RAD23; May be involved in nucleotide excision repair (By similarity). Binds and presumably selects ubiquitin-conjugates for destruction. Prefers multiubiquitin chains rather than single ubiquitins, with a binding affinity for 'Lys-48'-linked ubiquitin chains. Acts as a ubiquitin receptor that associates with the 26S proteasomal docking subunit RPN10 for the indirect recognition of ubiquitinated substrates of ubiquitin/26S proteasome-mediated proteolysis (UPP) (By similarity); Belongs to the RAD23 family            Q40742                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [proteasome-mediated ubiquitin-dependent protein catabolic process]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                                                   OLE18         232 4530.OS03T0699000-01         4530 Oryza sativa            OLE18                                                                                                                                                                                                                                                                                        Oleosin 18 kDa; May have a structural role to stabilize the lipid body during desiccation of the seed by preventing coalescence of the oil. Probably interacts with both lipid and phospholipid moieties of lipid bodies. May also provide recognition signals for specific lipase anchorage in lipolysis during seedling growth            Q10EK7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [lipid storage, response to freezing, seed oilbody biogenesis]                                                                                                                                                                                                                                                             [IBA:GO_Central, IBA:GO_Central, IBA:GO_Central]
                                                    YSL9         233 4530.OS04T0542200-01         4530 Oryza sativa             YSL9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Probable metal-nicotianamine transporter YSL9; May be involved in the transport of nicotianamine- chelated metals        A0A0P0WDA4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os03g0803700         234 4530.OS03T0803700-01         4530 Oryza sativa  OS03T0803700-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                annotation not available        A0A0P0W4F6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [embryo development ending in seed dormancy, leaf vascular tissue pattern formation, root development]                                                                                                                                                                                                                                                             [IBA:GO_Central, IBA:GO_Central, IBA:GO_Central]
                                            Os05g0459700         235 4530.OS05T0459700-01         4530 Oryza sativa  OS05T0459700-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Os05g0459700 protein        A0A0P0WNJ9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [abscisic acid-activated signaling pathway, mucilage biosynthetic process involved in seed coat development, multidimensional cell growth]                                                                                                                                                                                                                                                             [IBA:GO_Central, IBA:GO_Central, IBA:GO_Central]
                                                   YSL16         236 4530.OS04T0542800-01         4530 Oryza sativa            YSL16                                                                                                                                                                                                                                                                                                                                                                                                                                                             Probable metal-nicotianamine transporter YSL16; May be involved in the transport of nicotianamine- chelated metals; Belongs to the YSL (TC 2.A.67.2) family            K7ZRZ3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                                    SUS2         237 4530.OS06T0194900-03         4530 Oryza sativa             SUS2                                                                                                                                                                                                                                                                                                        Sucrose synthase 2; Sucrose-cleaving enzyme that provides UDP-glucose and fructose for various metabolic pathways (By similarity). Functions in developing seeds by supplying substrates for the biosynthesis of storage products; Belongs to the glycosyltransferase 1 family. Plant sucrose synthase subfamily            I3QD82                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                                    GIF1         238 4530.OS03T0733600-01         4530 Oryza sativa             GIF1                                                                                                                                                                                                                                                                                                                                                                                                                                Expressed protein; Os03g0733600 protein; Putative calcium-responsive transcription coactivator; SSXT protein containing protein, expressed; cDNA clone:001-017-F01, full insert sequence            Q6AVI1                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [cell population proliferation, leaf development, positive regulation of DNA-templated transcription, positive regulation of transcription by RNA polymerase II, seed development]                                                                                                                                                                                                                                [IBA:GO_Central, IMP:UniProtKB, IDA:UniProtKB, IBA:GO_Central, IMP:UniProtKB]
                                                    ADL1         240 4530.OS02T0709400-01         4530 Oryza sativa             ADL1                                                                                                                                             Calpain-type cysteine protease ADL1; Essential protease involved in epiderm development. Required for aleurone cell development in the endosperm probably by maintaining and restricting the aleurone and embryonic epidermal L1 cell-layer fates as well as meristems organization. Involved in the maintenance of adaxial/abaxial axis information in developing leaves, probably by regulating cell proliferation and expansion. Does not need calcium ions to be active        A0A0P0VNU5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                                 PDIL1-1         241 4530.OS11T0199200-01         4530 Oryza sativa          PDIL1-1                                                                                                                                                                                                                                                    Protein disulfide isomerase-like 1-1; Probable protein disulfide isomerase that plays an essential role in the segregation of proglutelin and prolamin polypeptides within the ER lumen of endosperm. Required to retain proglutelin in the cisternal ER lumen until ER export and, thereby, indirectly prevents heterotypic interactions with prolamin polypeptides            Q53LQ0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [endosperm development, protein folding, protein folding in endoplasmic reticulum, response to endoplasmic reticulum stress]                                                                                                                                                                                                                                                   [IMP:CACAO, IBA:GO_Central, IMP:UniProtKB, IBA:GO_Central]
                                                  MADS29         242 4530.OS02T0170300-01         4530 Oryza sativa           MADS29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         MADS-box transcription factor 29; Probable transcription factor            Q6H711                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [positive regulation of programmed cell death, regulation of transcription by RNA polymerase II, seed development, starch biosynthetic process]                                                                                                                                                                                                                                                            [IMP:CACAO, IBA:GO_Central, IMP:CACAO, IMP:CACAO]
                                                     SS1         243 4530.OS06T0160700-01         4530 Oryza sativa              SS1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Soluble starch synthase 1, chloroplastic/amyloplastic            Q0DEC8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [amylopectin biosynthetic process, endosperm development, starch biosynthetic process]                                                                                                                                                                                                                                                                [IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB]
                                                   MADS6         246 4530.OS02T0682200-01         4530 Oryza sativa            MADS6                                                                                                                                                                                                                                                                                                                                                                                                                                       MADS-box transcription factor 6; Probable transcription factor. Regulates floral organ identity and floral meristem determinacy. May be involved in the control of flowering time            Q6EU39                                                                                                                  [embryo sac development, floral meristem determinacy, floral organ development, floral organ formation, floral whorl morphogenesis, floral whorl structural organization, integument development, meristem determinacy, positive regulation of DNA-templated transcription, regulation of meristem development, regulation of transcription by RNA polymerase II, seed development, seed growth, specification of carpel identity, specification of floral organ identity, specification of floral organ number, stamen formation]                                                                                    [IMP:AgBase, IMP:AgBase, IDA:AgBase, IGI:AgBase, IMP:AgBase, IMP:AgBase, IMP:AgBase, IMP:UniProtKB, IDA:UniProtKB, IGI:AgBase, IBA:GO_Central, IMP:AgBase, IMP:AgBase, IMP:AgBase, IMP:UniProtKB, IMP:AgBase, IMP:AgBase]
                                                    FIE2         247 4530.OS08T0137100-01         4530 Oryza sativa        OsJ_25971                                                                                                                                                                                                                                                                                                                                                                                                                                                                    cDNA clone:J023058F21, full insert sequence; Os08g0137100 protein; Putative Polycomb group protein FIE2; cDNA clone:J023058F21, full insert sequence            Q6ZJX0                                                                                                                                                                                                                                                                                                                                                                                                                                      [endosperm development, heterochromatin assembly, histone H3-K27 methylation, maintenance of seed dormancy, negative regulation of transcription by RNA polymerase II, post-embryonic plant organ development]                                                                                                                                                                                                                  [IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB, IBA:GO_Central, IMP:UniProtKB]
                                                    FIE1         248 4530.OS08T0137250-01         4530 Oryza sativa        OsJ_25973                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Putative Polycomb group protein FIE2; cDNA, clone: J075166M12, full insert sequence            Q6ZJW8                                                                                                                                                                                                                                                                                                                                                                                                                          [embryo development ending in seed dormancy, endosperm development, flower development, heterochromatin assembly, histone H3-K27 methylation, negative regulation of transcription by RNA polymerase II, seed development]                                                                                                                                                                                                   [IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB, IBA:GO_Central, IMP:UniProtKB]
                                                   SERK2         249 4530.OS04T0457800-01         4530 Oryza sativa            SERK2 OSJNBa0036B21.13 protein; Os04g0457800 protein; LRR receptor kinase involved in positive regulation of somatic embryogenesis and defense response against the rice blast fungus pathogen Magnaporthe oryzae . Involved in the positive regulation of receptor kinase-mediated immunity. Required for immunity mediated by the LRR receptor kinases XA21 and XA26/XA3 which recognize effectors from the bacterial pathogen Xanthomonas oryzae pv. oryzae (Xoo). Required for the immune response mediated by the LRR receptor kinase FLS2 which recognizes specifically the bacterial flagellin (flg22) effector [...]             Q7XV05                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [brassinosteroid mediated signaling pathway, positive regulation of innate immune response, regulation of defense response to fungus, regulation of growth, somatic embryogenesis]                                                                                                                                                                                                                                  [IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB]
                                                   MET1B         250 4530.OS07T0182900-01         4530 Oryza sativa            MET1B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   DNA (cytosine-5)-methyltransferase 1B; Probably methylates CpG residues and maintains DNA methylation            B1Q3J6                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [DNA methylation on cytosine within a CG sequence, embryo development ending in seed dormancy, maintenance of DNA methylation, regulation of gene expression by genomic imprinting]                                                                                                                                                                                                                                                 [IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB]
                                                  SSIIIA         251 4530.OS08T0191433-00         4530 Oryza sativa           SSIIIA                                                                                                                                                                                                                                                                                                                                                                                                                                         Soluble starch synthase 3a, chloroplastic/amyloplastic; Involved in starch synthesis in endosperm amyloplasts Plays an important role in the elongation of amylopectin B chains        A0A0P0XCU3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [amylopectin biosynthetic process, endosperm development, starch biosynthetic process]                                                                                                                                                                                                                                                                [IMP:UniProtKB, IMP:UniProtKB, IMP:UniProtKB]
                                           P0408C03.33-1         252 4530.OS01T0841100-01         4530 Oryza sativa  OS01T0841100-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Endosperm specific protein-like; Os01g0841100 protein; cDNA clone:J033099G20, full insert sequence            Q5N9U4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [abscisic acid-activated signaling pathway, mucilage biosynthetic process involved in seed coat development, multidimensional cell growth]                                                                                                                                                                                                                                                             [IBA:GO_Central, IBA:GO_Central, IBA:GO_Central]
                                                   OEP80         253 4530.OS02T0196300-01         4530 Oryza sativa            OEP80                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Outer envelope protein 80, chloroplastic ; Belongs to the OEP80 (TC 1.B.33.2) family        A0A0N7KEV3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
